Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jessica,tvui,playback,,,2023-01-13 16:07:51
Jessica,tvui,browseTitles,,,2023-01-13 16:07:49
Jessica,tvui,movieDetails,,,2023-01-13 16:07:49
Jessica,tvui,movieDetails,,,2023-01-13 01:13:04
Jessica,tvui,playback,,,2023-01-13 01:13:04
Jessica,tvui,browseTitles,,,2023-01-13 01:13:01
Jessica,tvui,movieDetails,,,2023-01-13 01:13:01
Jessica,tvui,postPlay,,,2023-01-12 02:37:51
Jessica,tvui,playback,,,2023-01-12 02:37:51
Jessica,tvui,playback,,,2023-01-12 02:37:29
Jessica,tvui,postPlay,,,2023-01-12 02:37:29
Jessica,tvui,movieDetails,,,2023-01-12 01:58:23
Jessica,tvui,playback,,,2023-01-12 01:58:23
Jessica,tvui,browseTitles,,,2023-01-12 01:58:19
Jessica,tvui,movieDetails,,,2023-01-12 01:58:19
Jessica,tvui,movieDetails,,,2023-01-09 16:30:13
Jessica,tvui,browseTitles,,,2023-01-09 16:30:13
Jessica,tvui,playback,,,2023-01-09 16:30:01
Jessica,tvui,movieDetails,,,2023-01-09 16:30:01
Jessica,tvui,movieDetails,,,2023-01-09 16:07:59
Jessica,tvui,playback,,,2023-01-09 16:07:59
Jessica,tvui,browseTitles,,,2023-01-09 16:07:55
Jessica,tvui,movieDetails,,,2023-01-09 16:07:55
Jessica,tvui,movieDetails,,,2023-01-08 17:37:30
Jessica,tvui,playback,,,2023-01-08 17:37:30
Jessica,tvui,search,,,2023-01-08 17:37:28
Jessica,tvui,movieDetails,,,2023-01-08 17:37:28
Jessica,tvui,browseTitles,,,2023-01-08 17:36:29
Jessica,tvui,search,,,2023-01-08 17:36:29
Jessica,tvui,movieDetails,,,2023-01-08 17:36:15
Jessica,tvui,browseTitles,,,2023-01-08 17:36:15
Jessica,tvui,postPlay,,,2023-01-08 17:32:22
Jessica,tvui,movieDetails,,,2023-01-08 17:32:22
Jessica,tvui,playback,,,2023-01-08 17:32:18
Jessica,tvui,postPlay,,,2023-01-08 17:32:18
Jessica,tvui,movieDetails,,,2023-01-08 15:44:53
Jessica,tvui,playback,,,2023-01-08 15:44:53
Jessica,tvui,browseTitles,,,2023-01-08 15:44:47
Jessica,tvui,movieDetails,,,2023-01-08 15:44:47
Jessica,tvui,search,,,2023-01-08 15:42:19
Jessica,tvui,browseTitles,,,2023-01-08 15:42:19
Jessica,tvui,movieDetails,,,2023-01-08 15:42:06
Jessica,tvui,search,,,2023-01-08 15:42:06
Jessica,tvui,search,,,2023-01-08 15:41:55
Jessica,tvui,movieDetails,,,2023-01-08 15:41:55
Jessica,tvui,movieDetails,,,2023-01-08 15:40:21
Jessica,tvui,search,,,2023-01-08 15:40:21
Jessica,tvui,search,,,2023-01-08 15:40:17
Jessica,tvui,movieDetails,,,2023-01-08 15:40:17
Jessica,tvui,movieDetails,,,2023-01-08 15:39:55
Jessica,tvui,search,,,2023-01-08 15:39:55
Jessica,tvui,search,,,2023-01-08 15:39:46
Jessica,tvui,movieDetails,,,2023-01-08 15:39:46
Jessica,tvui,browseTitles,,,2023-01-08 15:38:39
Jessica,tvui,search,,,2023-01-08 15:38:39
Jessica,android,playback,,,2023-01-07 15:16:17
Jessica,android,browseTitles,,,2023-01-07 15:16:15
Jessica,android,search,,,2023-01-07 15:16:13
Jessica,android,browseTitles,,,2023-01-07 15:16:13
Jessica,android,search,,,2023-01-07 15:16:11
Jessica,android,browseTitles,,,2023-01-07 15:16:10
Jessica,android,browseTitles,,,2023-01-07 15:16:08
Jessica,android,profilesGate,,,2023-01-07 15:16:07
Jessica,android,search,,,2023-01-07 00:27:24
Jessica,android,browseTitles,,,2023-01-07 00:27:23
Jessica,android,profilesGate,,,2023-01-07 00:27:22
Jessica,android,browseTitles,,,2023-01-07 00:27:22
Jessica,android,accountMenu,,,2023-01-07 00:16:01
Jessica,android,settings,,,2023-01-07 00:16:01
Jessica,android,accountMenu,,,2023-01-07 00:16:00
Jessica,android,browseTitles,,,2023-01-07 00:15:59
Jessica,android,playback,,,2023-01-07 00:15:57
Jessica,android,browseTitles,,,2023-01-07 00:15:57
Jessica,android,playback,,,2023-01-07 00:15:50
Jessica,android,browseTitles,,,2023-01-07 00:15:49
Jessica,android,browseTitles,,,2023-01-07 00:15:43
Jessica,android,accountMenu,,,2023-01-07 00:15:43
Jessica,android,accountMenu,,,2023-01-07 00:15:41
Jessica,android,browseTitles,,,2023-01-07 00:15:40
Jessica,android,movieDetails,,,2023-01-07 00:15:36
Jessica,android,browseTitles,,,2023-01-07 00:15:36
Jessica,android,playback,,,2023-01-07 00:15:33
Jessica,android,movieDetails,,,2023-01-07 00:15:33
Jessica,android,playback,,,2023-01-07 00:15:29
Jessica,android,movieDetails,,,2023-01-07 00:15:28
Jessica,android,playback,,,2023-01-07 00:15:24
Jessica,android,movieDetails,,,2023-01-07 00:15:24
Jessica,android,playback,,,2023-01-07 00:15:21
Jessica,android,movieDetails,,,2023-01-07 00:15:20
Jessica,android,browseTitles,,,2023-01-07 00:15:05
Jessica,android,movieDetails,,,2023-01-07 00:15:05
Jessica,android,browseTitles,,,2023-01-07 00:13:32
Jessica,android,profilesGate,,,2023-01-07 00:13:31
Jessica,tvui,movieDetails,,,2023-01-06 13:04:20
Jessica,tvui,playback,,,2023-01-06 13:04:20
Jessica,tvui,browseTitles,,,2023-01-06 13:04:07
Jessica,tvui,movieDetails,,,2023-01-06 13:04:07
Jessica,tvui,postPlay,,,2023-01-02 01:09:17
Jessica,tvui,movieDetails,,,2023-01-02 01:09:17
Jessica,tvui,playback,,,2023-01-02 01:09:07
Jessica,tvui,postPlay,,,2023-01-02 01:09:07
Jessica,tvui,movieDetails,,,2023-01-02 01:00:32
Jessica,tvui,playback,,,2023-01-02 01:00:32
Jessica,tvui,browseTitles,,,2023-01-02 01:00:29
Jessica,tvui,movieDetails,,,2023-01-02 01:00:29
Jessica,tvui,movieDetails,,,2023-01-02 01:00:14
Jessica,tvui,browseTitles,,,2023-01-02 01:00:14
Jessica,tvui,postPlay,,,2023-01-02 00:59:59
Jessica,tvui,movieDetails,,,2023-01-02 00:59:59
Jessica,tvui,playback,,,2023-01-02 00:59:54
Jessica,tvui,postPlay,,,2023-01-02 00:59:54
Jessica,tvui,movieDetails,,,2023-01-02 00:39:28
Jessica,tvui,playback,,,2023-01-02 00:39:28
Jessica,tvui,browseTitles,,,2023-01-02 00:39:25
Jessica,tvui,movieDetails,,,2023-01-02 00:39:25
Jessica,tvui,movieDetails,,,2023-01-02 00:39:07
Jessica,tvui,browseTitles,,,2023-01-02 00:39:07
Jessica,tvui,playback,,,2023-01-02 00:39:03
Jessica,tvui,movieDetails,,,2023-01-02 00:39:03
Jessica,tvui,movieDetails,,,2023-01-02 00:30:50
Jessica,tvui,playback,,,2023-01-02 00:30:50
Jessica,tvui,browseTitles,,,2023-01-02 00:30:46
Jessica,tvui,movieDetails,,,2023-01-02 00:30:46
Jessica,www,browseTitles,,/browse,2022-12-29 14:59:13
Jessica,www,playback,/browse,/watch/81071199?trackId=14170286&tctx=2%2C0%2C48fc7024-3d6f-4507-b839-9fb6dbf261d9-1074060354%2CNES_EE132DB9970066CBC42E805AAE7689-B9F225DDE3A711-4F8EBC0597_p_1672325943665%2CNES_EE132DB9970066CBC42E805AAE7689_p_1672325943665%2C%2C%2C%2C,2022-12-29 14:59:13
Jessica,www,browseTitles,,/browse,2022-12-29 14:46:07
Jessica,www,playback,/browse,/watch/81071199?trackId=14170286&tctx=2%2C0%2C48fc7024-3d6f-4507-b839-9fb6dbf261d9-1073442530%2CNES_EE132DB9970066CBC42E805AAE7689-B9F225DDE3A711-185D67FD71_p_1672325019995%2CNES_EE132DB9970066CBC42E805AAE7689_p_1672325019995%2C%2C%2C%2C,2022-12-29 14:46:07
Jessica,www,search,,/search?q=eu%20nunca,2022-12-28 16:18:22
Jessica,www,browseTitles,/search?q=eu%20nunca,/browse,2022-12-28 16:18:22
Jessica,www,browseTitles,/search?q=eu%20nunca,/browse,2022-12-28 10:39:33
Jessica,www,playback,/browse,/watch/81071199?trackId=14170286&tctx=2%2C0%2Cfc6c7dae-bb22-4d50-8411-35b5babffc1f-961858578%2CNES_EE132DB9970066CBC42E805AAE7689-B9F225DDE3A711-42F5552D62_p_1672223931853%2CNES_EE132DB9970066CBC42E805AAE7689_p_1672223931853%2C%2C%2C%2C,2022-12-28 10:39:33
Jessica,www,search,,/search?q=eu%20nunca,2022-12-28 10:38:51
Jessica,www,browseTitles,/search?q=eu%20nunca,/browse,2022-12-28 10:38:51
Jessica,tvui,playback,,,2022-12-28 01:50:42
Jessica,tvui,movieDetails,,,2022-12-28 01:50:42
Jessica,tvui,postPlay,,,2022-12-28 01:50:23
Jessica,tvui,playback,,,2022-12-28 01:50:23
Jessica,tvui,playback,,,2022-12-28 01:50:01
Jessica,tvui,postPlay,,,2022-12-28 01:50:01
Jessica,tvui,postPlay,,,2022-12-28 00:58:06
Jessica,tvui,playback,,,2022-12-28 00:58:06
Jessica,tvui,playback,,,2022-12-28 00:58:02
Jessica,tvui,postPlay,,,2022-12-28 00:58:02
Jessica,tvui,movieDetails,,,2022-12-28 00:34:06
Jessica,tvui,playback,,,2022-12-28 00:34:06
Jessica,tvui,browseTitles,,,2022-12-28 00:34:03
Jessica,tvui,movieDetails,,,2022-12-28 00:34:03
Jessica,android,browseTitles,,,2022-12-27 15:31:47
Jessica,android,playback,,,2022-12-27 15:31:47
Jessica,android,profilesGate,,,2022-12-27 15:31:31
Jessica,android,browseTitles,,,2022-12-27 15:31:31
Jessica,tvui,playback,,,2022-12-27 04:01:10
Jessica,tvui,movieDetails,,,2022-12-27 04:01:10
Jessica,tvui,movieDetails,,,2022-12-27 03:05:24
Jessica,tvui,playback,,,2022-12-27 03:05:24
Jessica,tvui,search,,,2022-12-27 03:05:20
Jessica,tvui,movieDetails,,,2022-12-27 03:05:20
Jessica,tvui,browseTitlesGallery,,,2022-12-27 03:05:07
Jessica,tvui,search,,,2022-12-27 03:05:07
Jessica,tvui,searchSuggestionTitleResults,,,2022-12-27 03:04:07
Jessica,tvui,browseTitlesGallery,,,2022-12-27 03:04:07
Jessica,tvui,search,,,2022-12-27 03:03:45
Jessica,tvui,browseTitles,,,2022-12-27 03:03:40
Jessica,tvui,movieDetails,,,2022-12-26 16:18:18
