Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Jessica,BR,Smart TV,0,comu,The Coldest Game,select,title_results,2022-12-14 21:12:27
Jessica,BR,Smart TV,0,comu,Marighella,select,title_results,2022-12-14 21:11:54
Jessica,BR,Smart TV,0,comu,The Trial,play,title_results,2022-12-13 22:58:33
Jessica,BR,Smart TV,0,comu,The Trial,select,title_results,2022-12-13 22:58:23
Jessica,BR,Smart TV,0,comu,,select,title_results,2022-12-13 22:58:02
Jessica,BR,HTML 5,0,mãos talentosas,Gifted Hands: The Ben Carson Story,add,title_results,2022-12-02 15:59:03
Jessica,BR,Android Phone,0,racismo ,Citation,select,title_results,2022-11-29 01:47:34
Jessica,BR,Android Phone,0,racismo ,If Beale Street Could Talk,select,title_results,2022-11-29 01:47:24
Jessica,BR,Android Phone,0,racismo ,Ma Rainey's Black Bottom,select,title_results,2022-11-29 01:47:18
Jessica,BR,Android Phone,0,racismo ,Son of the South,select,title_results,2022-11-29 01:46:56
Jessica,BR,Android Phone,0,tsunami ,,select,title_results,2022-11-29 01:42:13
Jessica,BR,Smart TV,0,gel,Madagascar 3: Europe's Most Wanted,play,title_results,2022-11-26 22:22:34
Jessica,BR,Smart TV,0,gel,Madagascar 3: Europe's Most Wanted,select,title_results,2022-11-26 22:22:26
Jessica,BR,Smart TV,0,gel,All Hail,play,title_results,2022-11-26 21:32:50
Jessica,BR,Smart TV,0,gel,All Hail,select,title_results,2022-11-26 21:32:43
Jessica,BR,Smart TV,0,gel,Against The Ice,select,title_results,2022-11-26 21:32:18
Jessica,BR,Android Phone,0,gelo,Against The Ice,select,title_results,2022-11-26 21:31:10
Jessica,BR,Smart TV,0,gel,Jungle Beat: The Movie,play,title_results,2022-11-23 22:38:45
Jessica,BR,Smart TV,0,gel,Jungle Beat: The Movie,select,title_results,2022-11-23 22:38:35
Jessica,BR,Smart TV,0,barr,The Kissing Booth 2,play,title_results,2022-11-20 01:52:18
Jessica,BR,Smart TV,0,barr,The Kissing Booth 2,select,title_results,2022-11-20 01:52:14
Jessica,BR,Smart TV,0,sa,Sausage Party,play,title_results,2022-11-14 01:13:11
Jessica,BR,Smart TV,0,sa,Sausage Party,select,title_results,2022-11-14 01:13:07
Jessica,BR,Smart TV,0,an,,select,suggestion_results,2022-11-09 23:57:11
Jessica,BR,Smart TV,0,gel,Live is Life,select,title_results,2022-11-09 23:56:03
Jessica,BR,Smart TV,0,gel,Honey,select,title_results,2022-11-09 23:54:56
Jessica,BR,Smart TV,0,gel,The Royal Treatment,select,title_results,2022-11-09 23:54:14
Jessica,BR,Smart TV,0,a ba,The Kissing Booth,play,title_results,2022-11-08 20:52:18
Jessica,BR,Smart TV,0,a ba,The Kissing Booth,select,title_results,2022-11-08 20:52:12
Jessica,BR,Smart TV,0,meca,,play,title_results,2022-10-18 02:30:20
Jessica,BR,Smart TV,0,meca,,select,title_results,2022-10-18 02:30:10
Jessica,BR,Smart TV,0,terre,Deep Impact,play,title_results,2022-10-09 21:53:05
Jessica,BR,Smart TV,0,terre,Deep Impact,select,title_results,2022-10-09 21:53:01
Jessica,BR,Smart TV,0,terre,,play,title_results,2022-10-09 21:51:12
Jessica,BR,Smart TV,0,terre,,select,title_results,2022-10-09 21:51:08
Jessica,BR,Smart TV,0,terr,Earthquake,select,suggestion_results,2022-10-09 21:50:42
Jessica,BR,Smart TV,0,terr,Earthquake,select,suggestion_results,2022-10-09 21:50:04
Jessica,BR,Android Phone,0,terremoto,"Aftershock: Everest and the Nepal Earthquake: Season 1: ""Wrong Place Wrong Time""",play,title_results,2022-10-09 21:47:28
Jessica,BR,Android Phone,0,terremoto,,select,title_results,2022-10-09 21:45:28
Jessica,BR,Android Phone,0,tsunami,Deep Impact,select,title_results,2022-10-09 21:44:42
Jessica,BR,Android Phone,0,tsunami,Geostorm,select,title_results,2022-10-09 21:44:38
Jessica,BR,Android Phone,0,tsunami,Force of Nature,select,title_results,2022-10-09 21:44:25
Jessica,BR,Smart TV,0,croc,Prey,select,title_results,2022-10-09 21:40:35
Jessica,BR,HTML 5,0,mudança,Sister Act,select,suggestion_results,2022-10-02 18:04:01
Jessica,BR,HTML 5,0,mudança,Sister Act,select,suggestion_results,2022-10-02 18:04:01
Jessica,BR,HTML 5,0,mudança,Sister Act,select,suggestion_results,2022-10-02 18:03:58
Jessica,BR,HTML 5,0,mudança,Sister Act,select,suggestion_results,2022-10-02 18:03:58
Jessica,BR,Smart TV,0,v,,add,title_results,2022-10-01 01:34:20
Jessica,BR,Smart TV,0,v,,select,title_results,2022-10-01 01:34:08
Jessica,BR,Smart TV,0,vio,,select,suggestion_results,2022-09-27 22:04:35
Jessica,BR,Smart TV,0,vio,,select,suggestion_results,2022-09-27 22:03:51
Jessica,BR,Smart TV,0,ficc,Geostorm,select,suggestion_results,2022-09-27 22:02:52
Jessica,BR,Smart TV,0,ficc,,select,suggestion_results,2022-09-27 22:02:08
Jessica,BR,Smart TV,0,terre,Battle: Los Angeles,play,title_results,2022-09-17 20:40:12
Jessica,BR,Smart TV,0,terre,Battle: Los Angeles,select,title_results,2022-09-17 20:40:07
Jessica,BR,Smart TV,0,terre,The Core,select,title_results,2022-09-17 20:39:41
