Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Jessica,"To the Lake: Season 1: ""Episode 2""",Samsung Novatek DTV Smart TV,2023-01-20 22:53:13,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":27000},{""eventType"":""playing"",""sessionOffsetMs"":5584,""mediaOffsetMs"":27000},{""eventType"":""paused"",""sessionOffsetMs"":15074,""mediaOffsetMs"":34000},{""eventType"":""playing"",""sessionOffsetMs"":16858,""mediaOffsetMs"":34000},{""eventType"":""paused"",""sessionOffsetMs"":24277,""mediaOffsetMs"":42000},{""eventType"":""playing"",""sessionOffsetMs"":141274,""mediaOffsetMs"":42000},{""eventType"":""stopped"",""sessionOffsetMs"":2797497,""mediaOffsetMs"":2694000}]"
Jessica,"To the Lake: Season 1: ""Episode 1""",Samsung Novatek DTV Smart TV,2023-01-20 21:55:51,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2000},{""eventType"":""playing"",""sessionOffsetMs"":7917,""mediaOffsetMs"":2000},{""eventType"":""playing"",""sessionOffsetMs"":12427,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":16437,""mediaOffsetMs"":10000},{""eventType"":""stopped"",""sessionOffsetMs"":3434920,""mediaOffsetMs"":3424000}]"
Jessica,To the Lake: Season 1_hook_04_16x9,DefaultWidevineAndroidPhone,2023-01-20 21:54:26,US,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1989,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":8482,""mediaOffsetMs"":6360},{""eventType"":""reposition"",""sessionOffsetMs"":13795,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":13937,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":35073,""mediaOffsetMs"":21026},{""eventType"":""stopped"",""sessionOffsetMs"":66745,""mediaOffsetMs"":21031}]"
Jessica,"I, Tonya _hook_primary_16x9",Edge OSS - Windows (Cadmium),2023-01-16 22:23:47,BR,"[{""eventType"":""start"",""sessionOffsetMs"":12,""mediaOffsetMs"":13},{""eventType"":""playing"",""sessionOffsetMs"":485,""mediaOffsetMs"":13},{""eventType"":""stopped"",""sessionOffsetMs"":866,""mediaOffsetMs"":394}]"
Jessica,Outer Banks: Season 2 - Baseline Clip 2,Edge OSS - Windows (Cadmium),2023-01-16 22:23:46,BR,"[{""eventType"":""start"",""sessionOffsetMs"":70,""mediaOffsetMs"":-1},{""eventType"":""stopped"",""sessionOffsetMs"":2007,""mediaOffsetMs"":-1}]"
Jessica,"I, Tonya _hook_primary_16x9",Edge OSS - Windows (Cadmium),2023-01-16 22:23:43,BR,"[{""eventType"":""start"",""sessionOffsetMs"":56,""mediaOffsetMs"":3},{""eventType"":""playing"",""sessionOffsetMs"":2055,""mediaOffsetMs"":3},{""eventType"":""paused"",""sessionOffsetMs"":2391,""mediaOffsetMs"":219},{""eventType"":""playing"",""sessionOffsetMs"":4416,""mediaOffsetMs"":338},{""eventType"":""paused"",""sessionOffsetMs"":5191,""mediaOffsetMs"":869},{""eventType"":""playing"",""sessionOffsetMs"":5213,""mediaOffsetMs"":1114},{""eventType"":""paused"",""sessionOffsetMs"":5318,""mediaOffsetMs"":1114},{""eventType"":""playing"",""sessionOffsetMs"":5416,""mediaOffsetMs"":1318},{""eventType"":""stopped"",""sessionOffsetMs"":5416,""mediaOffsetMs"":1318}]"
Jessica,United 93,Samsung Novatek DTV Smart TV,2023-01-16 10:39:43,BR,[]
Jessica,United 93,Samsung Novatek DTV Smart TV,2023-01-16 00:49:00,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5332,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":13950,""mediaOffsetMs"":8000},{""eventType"":""playing"",""sessionOffsetMs"":15967,""mediaOffsetMs"":10000},{""eventType"":""paused"",""sessionOffsetMs"":70986,""mediaOffsetMs"":65000},{""eventType"":""playing"",""sessionOffsetMs"":89174,""mediaOffsetMs"":65000},{""eventType"":""paused"",""sessionOffsetMs"":2082855,""mediaOffsetMs"":2058000},{""eventType"":""playing"",""sessionOffsetMs"":2307906,""mediaOffsetMs"":2058000},{""eventType"":""paused"",""sessionOffsetMs"":4578240,""mediaOffsetMs"":4329000},{""eventType"":""stopped"",""sessionOffsetMs"":4580369,""mediaOffsetMs"":4329000}]"
Jessica,Disconnect: The Wedding Planner,Samsung Novatek DTV Smart TV,2023-01-16 00:38:37,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":6069,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":74996,""mediaOffsetMs"":68000},{""eventType"":""stopped"",""sessionOffsetMs"":77473,""mediaOffsetMs"":68000}]"
Jessica,A Quiet Place Part II,Samsung Novatek DTV Smart TV,2023-01-15 15:14:04,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":4136000},{""eventType"":""playing"",""sessionOffsetMs"":7135,""mediaOffsetMs"":4136000},{""eventType"":""paused"",""sessionOffsetMs"":197042,""mediaOffsetMs"":4323000},{""eventType"":""reposition"",""sessionOffsetMs"":219822,""mediaOffsetMs"":4120000},{""eventType"":""playing"",""sessionOffsetMs"":223257,""mediaOffsetMs"":4118000},{""eventType"":""paused"",""sessionOffsetMs"":861198,""mediaOffsetMs"":4755000},{""eventType"":""playing"",""sessionOffsetMs"":1040711,""mediaOffsetMs"":4755000},{""eventType"":""paused"",""sessionOffsetMs"":1631166,""mediaOffsetMs"":5346000}]"
Jessica,"Ginny & Georgia: Season 1: ""Feelings Are Hard""",Samsung Novatek DTV Smart TV,2023-01-15 00:17:50,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":6000},{""eventType"":""playing"",""sessionOffsetMs"":6276,""mediaOffsetMs"":6000},{""eventType"":""paused"",""sessionOffsetMs"":1545695,""mediaOffsetMs"":1543000},{""eventType"":""stopped"",""sessionOffsetMs"":1547734,""mediaOffsetMs"":1543000}]"
Jessica,"Ginny & Georgia: Season 1: ""Check One, Check Other""",Samsung Novatek DTV Smart TV,2023-01-15 00:00:06,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":2281000},{""eventType"":""playing"",""sessionOffsetMs"":8335,""mediaOffsetMs"":2281000},{""eventType"":""paused"",""sessionOffsetMs"":1064139,""mediaOffsetMs"":3335000},{""eventType"":""stopped"",""sessionOffsetMs"":1065797,""mediaOffsetMs"":3335000}]"
Jessica,A Quiet Place Part II,Samsung Novatek DTV Smart TV,2023-01-13 22:10:51,BR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":912000},{""eventType"":""playing"",""sessionOffsetMs"":5902,""mediaOffsetMs"":912000},{""eventType"":""playing"",""sessionOffsetMs"":7947,""mediaOffsetMs"":912000},{""eventType"":""playing"",""sessionOffsetMs"":11962,""mediaOffsetMs"":916000},{""eventType"":""stopped"",""sessionOffsetMs"":3230902,""mediaOffsetMs"":4134940}]"
